Nombre,Link,Pais,Reputacion,N_oro,N_plata,N_bronce
Dave DeLong,https://stackoverflow.com/users/115730/dave-delong,ZZ9 Plural Z Alpha,241881,58,447,498
Ian Boyd,https://stackoverflow.com/users/12597/ian-boyd,Windsor; ON; Canada,241127,247,856,1187
jalf,https://stackoverflow.com/users/33213/jalf,Not provided by the user,240113,51,341,548
Rémi Rousselet,https://stackoverflow.com/users/8394265/r%c3%a9mi-rousselet,Paris; France,239935,76,499,417
Justin Niessner,https://stackoverflow.com/users/84651/justin-niessner,Bellefonte; PA; USA,239698,40,405,535
Ashwini Chaudhary,https://stackoverflow.com/users/846892/ashwini-chaudhary,Toronto,239672,56,452,501
Taryn,https://stackoverflow.com/users/426671/taryn,Arizona,239661,55,362,404
Dimitre Novatchev,https://stackoverflow.com/users/36305/dimitre-novatchev,United States,238605,26,293,427
Tomas Petricek,https://stackoverflow.com/users/33518/tomas-petricek,Prague; Czechia,237937,19,376,546
axtavt,https://stackoverflow.com/users/103154/axtavt,Moscow; Russia,236916,41,505,478
BrenBarn,https://stackoverflow.com/users/1427416/brenbarn,Santa Barbara; CA,236863,35,404,379
Cody Gray,https://stackoverflow.com/users/366904/cody-gray,Austin; TX; USA,235572,50,486,566
jmj,https://stackoverflow.com/users/260990/jmj,Not provided by the user,235509,42,395,435
knittl,https://stackoverflow.com/users/112968/knittl,Austria,233976,52,306,355
Fenton,https://stackoverflow.com/users/75525/fenton,United Kingdom,233770,68,384,396
glenn jackman,https://stackoverflow.com/users/7552/glenn-jackman,Ottawa; Canada,233283,37,215,341
jason,https://stackoverflow.com/users/45914/jason,Not provided by the user,233145,34,421,524
Ryan McGeary,https://stackoverflow.com/users/8985/ryan-mcgeary,Lafayette; CO; United States,233062,13,95,104
Oli,https://stackoverflow.com/users/12870/oli,England; United Kingdom,232847,63,218,295
John Zwinck,https://stackoverflow.com/users/4323/john-zwinck,Not provided by the user,232289,34,314,427
