numero,empresa,ciudades,habilidades
57,Jumbo Supermarkets,Veghel,java;vue.js;node.js;java;vue.js;node.js;git-flow;spring;junit;maven;soap;git;android-studio;android;ios;amazon-web-services;kotlin;sap;microstrategy;microservices;salesforce;kubernetes;docker;swift
58,Luxoft,Wrocław;Gdańsk;Torino,java;javascript;.net;java;javascript;.net;c++;c;c#;php;python;qa;azure;azure-devops;azure-sql-database;shell;linux;linux-kernel;embedded;embedded-linux;continuous-integration;bash;sql;kubernetes;hadoop;scala;architecture;agile;scrum;can-bus;git;devops;cloud;hybrid;unix;ldap;telecommunication;network-programming;telecom-manager
59,Fidelity Investments,Westlake;Salt Lake City;Durham,javascripttypescript;nodejsexpress;java;javascripttypescript;nodejsexpress;java;nodejs;microservices;rest;api;react;angular;typescript;html;css;aws;cicd;python;aurora;rds;dms;sql;nosql;postgresql;etl;architecture;design;enterprise;solutions;application;data;lake;azure;soa;design-patterns
60,Redgate Software,Cambridge,.net;sql;asp.net-mvc;.net;sql;asp.net-mvc;java;agile;javascript;reactjs;c#;kubernetes;docker;typescript;dapr;ceph
61,"DICK'S Sporting Goods, Inc.",No office location,.net;rabbitmq;apache-kafka;.net;rabbitmq;apache-kafka;pcf;azure;cosmos;postgresql;sql;java;spring-boot;vue.js;javascript;kotlin;c#;github-actions;github;redis;elasticsearch;mysql;angular;reactjs;oracle;sql-server;azure-functions;docker;react-native;node.js;python;unity3d;augmented-reality;metnion;kubernetes;mongodb
62,Catawiki,Amsterdam,ruby-on-rails;rails;apache;ruby-on-rails;rails;apache;nginx;mysql;redis;reactjs;jquery;git;html5;css3;javascript;sass;haml;android;ios;xml;json;automated-tests;elasticsearch;ruby;go;continious-integration;python;rspec;tdd;testing;microservices;typescript
63,Highspot,Seattle;München;London,postgresql;ruby;node.js;postgresql;ruby;node.js;javascript;jquery;jquery-ui;reactjs;redux;mongodb;snowflake-cloud-data-plat;clojure;amazon-web-services;kafka;kubernetes
64,SMS plc,Doncaster;Glasgow;Pontprennau,java;javascript;amazon-web-services;java;javascript;amazon-web-services;c#;azure;python;sql;pandas;django;docker;git;numpy;flask;jenkins
65,PAYBACK,München;Wien;Köln,java;javascript;jenkins;java;javascript;jenkins;android;ios;mysql;oracle;mongodb;php;eclipse;maven;ansible;puppet;hadoop;html5;css3;jquery;less;bem;spring;sql;java-ee-6;weblogic;core-media;unix;fitnesse;python;linux;jade;etl;junit;jsf;jsp;plsql;shell;icinga;graphite;tomcat;apache;json;xml;agile;scrum;kanban;1stspirit;nosql;dynatrace;siebel;dropwizard;consul;elasticsearch;nginx;f5;cisco;microservices;apache-kafka;cassandra;apache-spark;devops;hibernate;swift;mobile;dagger;logstash;kibana;elk-stack;appium;spock;grafana;ejb;kotlin;java-ee;scala;spring-boot;confluent;intellij-idea;airflow;redis
66,Bol.com,Utrecht,java;kotlin;scrum;java;kotlin;scrum;mongodb;google-cloud-platform;selenium;go;elasticsearch;docker;postgresql;cucumber;kubernetes;spring-boot;angular;reactjs;typescript;sass;google-bigquery;google-cloud-pubsub;cypress;javascript;microservices
67,Adyen.,Madrid;Chicago;Amsterdam,java;javascript;android;java;javascript;android;python;vue.js;c++;postgresql
68,TELUS Future Friendly Technology Services,Calgary;Toronto;Vancouver,javascript;.net;node;javascript;.net;node;gcp;swift;android;.netcore;aws;docker;ocp;gke;terraform;reactjs;vue.js;kubernetes-helm
69,Next,Leicester;South Elmsall,javascript;c#;python;javascript;c#;python;node.js;mobile;web;.net;cloud;mainframe
70,Dell Technologies,Seattle;Round Rock;Hopkinton,c;c++;python;c;c++;python;java;pcie;ssd;sas;rust;golang;apache;spark;flink;hive;bios;sql;linux;ansible;rest
71,"Greenhouse Software, Inc.",Ontario;British Columbia,javascript;ruby;amazon-web-services;javascript;ruby;amazon-web-services;amazon-cloudformation;postgresql;git;reactjs;react-native;react-redux;kubernetes;ruby-on-rails
72,AND Digital Nederland,Amsterdam;United Kingdom;Rotterdam,javascript;java;c#;javascript;java;c#;swift;kotlin;typescript;go;python;rust;ruby;c++;php;.net-core;spring;node.js;reactjs;angular;vue.js;graphql;nightwatch.js;bootstrap-4;twitter-bootstrap;react-native;ionic-framework;ionic;gradle;selenium;cypress;jestjs;kubernetes;docker;blockchain;elasticsearch;ios;android;azure;google-cloud-platform;amazon-web-services;aws-lambda;amazon-s3;amazon-ec2;amazon-eks;aws-step-functions;redis;mongodb;postgresql;progressive-web-apps;angular-pwa;jenkins;apache-kafka
